Frequency of Traveling by Air,Vehicle Monthly Distance Km,Waste Bag Weekly Count,CarbonEmission,Microwave,Stove,Grill,Oven,Airfryer,coal,electricity,natural gas,wood,diesel,electric,hybrid,lpg,petrol,private,public,walk/bicycle,extra large,large,medium,small
2,210,4,2238,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
1,9,3,1892,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
0,2472,1,2595,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1
1,74,3,1074,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
3,8457,1,4743,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0
2,658,1,1647,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
1,5363,4,1832,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0
3,54,3,2322,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
2,1376,3,2494,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
1,440,1,1178,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
0,1561,4,1427,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
3,69,5,3226,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
1,92,3,1593,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
1,2893,6,1732,1,1,1,1,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0
1,1989,6,1743,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
3,692,6,2101,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
2,7,4,2609,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0
1,948,6,1565,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
3,7622,2,5272,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0
0,51,4,1220,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
1,2237,6,1300,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0
1,1804,1,1024,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
0,85,3,706,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
2,472,4,2582,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
