coal,electricity,natural gas,wood,private,public,walk/bicycle,diesel,electric,hybrid,lpg,petrol,Vehicle Monthly Distance Km,Frequency of Traveling by Air,extra large waste bag,large waste bag,medium waste bag,small waste bag,Waste Bag Weekly Count,CarbonEmission
1,0,0,0,0,1,0,0,0,0,0,0,210,2,0,1,0,0,4,2238
0,0,1,0,0,0,1,0,0,0,0,0,9,1,1,0,0,0,3,1892
0,0,0,1,1,0,0,0,0,0,0,1,2472,0,0,0,0,1,1,2595
0,0,0,1,0,0,1,0,0,0,0,0,74,1,0,0,1,0,3,1074
1,0,0,0,1,0,0,1,0,0,0,0,8457,3,0,1,0,0,1,4743
0,0,0,1,0,1,0,0,0,0,0,0,658,2,0,1,0,0,1,1647
0,0,0,1,1,0,0,0,0,1,0,0,5363,1,0,0,1,0,4,1832
1,0,0,0,0,0,1,0,0,0,0,0,54,3,1,0,0,0,3,2322
0,0,0,1,0,1,0,0,0,0,0,0,1376,2,0,0,1,0,3,2494
0,0,0,1,0,1,0,0,0,0,0,0,440,1,1,0,0,0,1,1178
0,0,0,1,0,1,0,0,0,0,0,0,1561,0,1,0,0,0,4,1427
1,0,0,0,0,0,1,0,0,0,0,0,69,3,0,0,1,0,5,3226
1,0,0,0,0,0,1,0,0,0,0,0,92,1,0,1,0,0,3,1593
0,1,0,0,1,0,0,0,0,0,1,0,2893,1,0,1,0,0,6,1732
0,0,1,0,0,1,0,0,0,0,0,0,1989,1,0,0,0,1,6,1743
0,1,0,0,0,1,0,0,0,0,0,0,692,3,0,0,0,1,6,2101
0,1,0,0,0,0,1,0,0,0,0,0,7,2,1,0,0,0,4,2609
0,0,0,1,0,1,0,0,0,0,0,0,948,1,0,1,0,0,6,1565
0,1,0,0,1,0,0,0,0,0,0,1,7622,3,0,0,1,0,2,5272
0,0,0,1,0,0,1,0,0,0,0,0,51,0,0,0,0,1,4,1220
0,1,0,0,1,0,0,0,1,0,0,0,2237,1,0,1,0,0,6,1300
0,0,0,1,0,1,0,0,0,0,0,0,1804,1,0,1,0,0,1,1024
0,0,0,1,0,0,1,0,0,0,0,0,85,0,0,0,0,1,3,706
1,0,0,0,1,0,0,1,0,0,0,0,472,2,0,0,0,1,4,2582
1,0,0,0,1,0,0,1,0,0,0,0,5737,3,0,0,1,0,1,4284
0,1,0,0,0,0,1,0,0,0,0,0,88,1,0,0,1,0,6,807
0,1,0,0,0,1,0,0,0,0,0,0,558,2,0,1,0,0,4,1991
0,1,0,0,0,1,0,0,0,0,0,0,752,1,0,1,0,0,3,1817
0,0,0,1,0,0,1,0,0,0,0,0,71,1,0,0,0,1,2,1490
0,1,0,0,0,1,0,0,0,0,0,0,1028,2,0,0,0,1,2,1561
0,0,0,1,0,1,0,0,0,0,0,0,1527,2,0,0,1,0,4,2202
1,0,0,0,0,0,1,0,0,0,0,0,88,2,0,1,0,0,5,2024
0,0,1,0,0,0,1,0,0,0,0,0,73,2,0,0,1,0,4,1659
0,0,0,1,1,0,0,0,0,0,1,0,8320,3,0,0,0,1,5,3911
1,0,0,0,0,0,1,0,0,0,0,0,72,0,0,0,1,0,6,1204
1,0,0,0,0,0,1,0,0,0,0,0,9,3,0,1,0,0,2,2431
0,1,0,0,0,0,1,0,0,0,0,0,60,2,0,0,1,0,2,1640
0,0,1,0,0,0,1,0,0,0,0,0,13,2,0,0,1,0,5,1648
0,0,0,1,0,0,1,0,0,0,0,0,32,1,0,0,0,1,6,1002
1,0,0,0,0,0,1,0,0,0,0,0,49,2,0,0,0,1,1,1771
0,1,0,0,0,1,0,0,0,0,0,0,1351,3,1,0,0,0,1,2028
1,0,0,0,0,1,0,0,0,0,0,0,1726,3,0,0,1,0,2,2540
0,1,0,0,0,1,0,0,0,0,0,0,1021,0,0,0,1,0,7,1386
1,0,0,0,0,0,1,0,0,0,0,0,62,1,0,0,0,1,5,1679
0,0,0,1,1,0,0,0,1,0,0,0,9488,3,0,0,0,1,5,3141
0,0,0,1,0,1,0,0,0,0,0,0,1037,3,0,1,0,0,4,2627
0,0,0,1,1,0,0,0,1,0,0,0,9555,0,0,1,0,0,2,1188
0,1,0,0,1,0,0,1,0,0,0,0,9031,0,1,0,0,0,5,3174
0,0,1,0,0,1,0,0,0,0,0,0,1461,2,0,1,0,0,7,2327
0,0,0,1,0,0,1,0,0,0,0,0,39,3,0,0,1,0,3,1822
0,0,1,0,1,0,0,1,0,0,0,0,5033,0,0,0,1,0,6,2665
0,1,0,0,0,1,0,0,0,0,0,0,1065,2,1,0,0,0,4,2129
0,0,0,1,0,1,0,0,0,0,0,0,927,1,0,0,1,0,5,1425
0,1,0,0,1,0,0,0,0,1,0,0,2277,2,0,1,0,0,1,1690
0,0,1,0,0,0,1,0,0,0,0,0,97,1,0,0,1,0,7,1717
1,0,0,0,1,0,0,0,0,0,1,0,7272,2,0,1,0,0,2,4060
0,1,0,0,1,0,0,0,0,0,0,1,5260,1,1,0,0,0,3,3262
1,0,0,0,0,1,0,0,0,0,0,0,1750,1,1,0,0,0,1,1674
0,0,1,0,1,0,0,0,0,1,0,0,2998,2,0,0,0,1,4,3135
0,0,1,0,1,0,0,0,0,0,1,0,9147,1,1,0,0,0,5,4465
0,1,0,0,0,1,0,0,0,0,0,0,1947,1,1,0,0,0,3,1984
0,1,0,0,1,0,0,0,0,0,1,0,4885,3,0,1,0,0,1,3246
0,1,0,0,0,0,1,0,0,0,0,0,20,2,0,1,0,0,4,1351
1,0,0,0,0,0,1,0,0,0,0,0,23,0,1,0,0,0,1,1929
0,1,0,0,0,0,1,0,0,0,0,0,34,2,0,1,0,0,5,2719
1,0,0,0,0,0,1,0,0,0,0,0,59,2,0,1,0,0,1,2336
0,0,0,1,0,1,0,0,0,0,0,0,682,0,0,0,0,1,6,1270
0,0,1,0,0,0,1,0,0,0,0,0,10,0,0,1,0,0,6,1803
0,1,0,0,0,0,1,0,0,0,0,0,10,3,0,0,1,0,1,1816
1,0,0,0,1,0,0,0,0,0,0,1,7964,0,0,0,0,1,1,4638
1,0,0,0,1,0,0,0,0,1,0,0,3606,1,0,0,0,1,3,1909
0,0,1,0,0,1,0,0,0,0,0,0,536,2,0,1,0,0,2,2021
0,0,1,0,0,1,0,0,0,0,0,0,1564,1,0,1,0,0,5,1896
0,1,0,0,0,0,1,0,0,0,0,0,78,2,0,0,0,1,4,1770
0,0,0,1,0,0,1,0,0,0,0,0,98,0,0,0,0,1,1,1323
0,0,0,1,0,1,0,0,0,0,0,0,1820,3,0,0,0,1,1,2269
0,0,0,1,0,1,0,0,0,0,0,0,243,0,1,0,0,0,4,1918
0,0,1,0,0,1,0,0,0,0,0,0,1586,3,0,0,0,1,7,2477
0,0,1,0,0,0,1,0,0,0,0,0,11,2,0,1,0,0,3,1444
